areaId,ms_x,ms_y,RU5,RU6,RU9,RU11,RU12
3,28.5324,34.0781,-80.8448,-40.3581,-33.5309,-31.8704,-97.1868
3,29.0324,34.0781,-77.4067,-34.6035,-37.1699,-36.4131,-87.4211
3,29.5324,34.0781,-81.2542,-32.9672,-42.6184,-40.3376,-88.9427
3,30.0324,34.0781,-81.5123,-35.3996,-33.9071,-43.7429,-94.4498
3,30.5324,34.0781,-90.842,-33.6067,-29.9299,-36.4057,-93.3
3,31.0324,34.0781,-87.7698,-32.8833,-28.241,-29.1404,-110.631
3,31.5324,34.0781,-99.4496,-34.1151,-32.2708,-33.8769,-90.6425
3,32.0324,34.0781,-82.568,-33.7396,-37.3355,-38.2833,-102.99
3,32.5324,34.0781,-81.6103,-39.5184,-38.593,-46.0738,-115.604
3,33.0324,34.0781,-78.6436,-46.0303,-37.1173,-39.5952,-88.4786
3,33.5324,34.0781,-77.9245,-45.7306,-37.6232,-40.2937,-87.6277
3,34.0324,34.0781,-81.2116,-43.3775,-39.2567,-35.6362,-89.8206
3,34.5324,34.0781,-76.8102,-43.4542,-39.6181,-37.9967,-83.6769
3,35.0324,34.0781,-82.2773,-38.9879,-36.7391,-33.9347,-98.4953
3,35.5324,34.0781,-76.3716,-37.6338,-39.3295,-35.6238,-91.6165
3,36.0324,34.0781,-81.3185,-36.3312,-39.7276,-32.9215,-94.3779
3,36.5324,34.0781,-78.5834,-41.7727,-38.3964,-43.781,-71.0255
3,37.0324,34.0781,-81.534,-35.4796,-33.7827,-33.833,-77.9998
3,37.5324,34.0781,-83.7994,-36.3124,-37.6717,-38.4529,-77.6813
3,38.0324,34.0781,-83.4457,-35.7566,-41.9769,-37.5202,-67.6468
3,38.5324,34.0781,-82.4892,-42.8977,-38.8954,-38.2527,-70.485
3,39.0324,34.0781,-83.9207,-40.4859,-33.9702,-33.1238,-73.1937
3,39.5324,34.0781,-84.1436,-51.3058,-37.475,-38.4942,-75.7942
3,40.0324,34.0781,-84.8457,-44.7038,-36.9804,-37.2909,-70.4747
3,40.5324,34.0781,-78.1973,-48.861,-51.3206,-42.1796,-62.0682
3,41.0324,34.0781,-78.9001,-43.7954,-44.0053,-44.433,-67.4982
3,41.5324,34.0781,-76.183,-54.0318,-50.4744,-36.7645,-69.1955
3,42.0324,34.0781,-74.7175,-43.7979,-36.8466,-31.7935,-59.0998
3,42.5324,34.0781,-78.8606,-43.1485,-48.189,-37.7817,-59.3615
3,43.0324,34.0781,-77.3436,-39.5343,-51.9651,-37.6441,-62.4777
3,43.5324,34.0781,-82.8712,-40.3603,-46.4996,-37.8573,-59.4243
3,44.0324,34.0781,-80.6244,-46.0506,-42.9368,-36.3116,-57.658
3,44.5324,34.0781,-86.4288,-43.6393,-40.4994,-40.1164,-64.1321
3,45.0324,34.0781,-78.6499,-47.7533,-45.2137,-37.9838,-55.8986
3,45.5324,34.0781,-84.5589,-48.5908,-35.9707,-27.9483,-60.5695
3,46.0324,34.0781,-83.661,-44.013,-38.5086,-28.5525,-57.6364
3,46.5324,34.0781,-95.5606,-49.8295,-49.9741,-42.756,-55.4497
3,47.0324,34.0781,-90.2342,-40.445,-40.2178,-31.6888,-58.0264
3,47.5324,34.0781,-81.6912,-43.9772,-42.8582,-38.9127,-55.5663
3,48.0324,34.0781,-84.5246,-40.7754,-47.2151,-29.5463,-55.5104
3,48.5324,34.0781,-80.7692,-38.5397,-41.601,-35.0738,-47.7329
3,49.0324,34.0781,-80.5116,-39.1545,-41.2438,-29.988,-51.8105
3,49.5324,34.0781,-83.8339,-39.5361,-39.9852,-32.5198,-45.9053
3,50.0324,34.0781,-81.9006,-43.4362,-46.9371,-30.0906,-51.924
3,50.5324,34.0781,-83.732,-43.2692,-50.3515,-26.76,-48.178
3,51.0324,34.0781,-80.3154,-41.3698,-35.3257,-34.0398,-56.9309
3,51.5324,34.0781,-86.6844,-45.6237,-34.4806,-29.3144,-53.2255
3,52.0324,34.0781,-80.7221,-47.6633,-35.138,-26.8298,-56.0437
3,52.5324,34.0781,-86.4816,-60.1166,-35.5899,-27.9147,-49.5044
3,53.0324,34.0781,-81.6268,-68.293,-38.5085,-23.8865,-45.4985
3,53.5324,34.0781,-92.3832,-54.6928,-37.4638,-29.5179,-45.8382
3,54.0324,34.0781,-98.2458,-44.1676,-37.5066,-32.86,-53.9981
3,54.5324,34.0781,-80.6694,-46.6358,-42.82,-27.7011,-57.2398
3,55.0324,34.0781,-84.0972,-42.0204,-42.2348,-29.5432,-48.0251
3,55.5324,34.0781,-80.6779,-45.773,-35.7209,-25.2782,-47.1057
3,2.53236,34.5781,-40.2737,-24.193,-38.6978,-43.4076,-98.5148
3,3.03236,34.5781,-56.9486,-29.4178,-43.6111,-37.0508,-97.3219
3,3.53236,34.5781,-55.1211,-24.7624,-57.7736,-45.1911,-99.7023
3,4.03236,34.5781,-56.2907,-26.7169,-36.2112,-40.8743,-94.2987
3,4.53236,34.5781,-56.5227,-24.4029,-37.9919,-39.4945,-97.2762
3,5.03236,34.5781,-65.8465,-27.2842,-27.8185,-36.4189,-93.978
3,5.53236,34.5781,-57.061,-27.9674,-28.3228,-45.3197,-95.8339
3,6.03236,34.5781,-56.8684,-30.19,-41.4028,-43.3424,-93.607
3,6.53236,34.5781,-60.596,-47.5455,-43.9577,-53.843,-95.6462
3,7.03236,34.5781,-71.0368,-29.0361,-34.8967,-41.2387,-101.468
3,7.53236,34.5781,-65.3414,-33.6554,-35.9724,-40.4589,-106.075
3,8.03236,34.5781,-63.9187,-33.0986,-30.5898,-40.6684,-101.914
3,8.53236,34.5781,-72.2257,-37.5407,-41.1662,-39.1467,-98.334
3,9.03236,34.5781,-75.0176,-33.5832,-30.5612,-50.3172,-101.258
3,9.53236,34.5781,-72.4108,-32.5816,-29.9214,-49.7459,-95.2701
3,10.0324,34.5781,-72.16,-31.6996,-31.4169,-40.3342,-102.137
3,10.5324,34.5781,-71.0201,-36.2577,-35.2648,-39.6175,-96.5063
3,11.0324,34.5781,-74.8684,-28.0435,-36.1132,-39.5268,-97.6346
3,11.5324,34.5781,-89.7902,-40.7366,-34.61,-39.3829,-91.7605
3,12.0324,34.5781,-76.3115,-32.9762,-44.4268,-50.0818,-97.7967
3,12.5324,34.5781,-80.3641,-30.612,-26.312,-44.0438,-89.4206
3,13.0324,34.5781,-80.1424,-32.438,-27.3174,-39.4985,-92.5537
3,13.5324,34.5781,-72.9881,-34.5959,-47.0384,-36.4642,-90.6037
3,14.0324,34.5781,-81.8492,-33.7415,-30.3134,-38.1226,-93.7164
3,14.5324,34.5781,-78.6578,-41.9923,-31.2195,-35.1313,-91.9776
